number ; verb/word ; additionalInfo ; url
1;0.0603826401736;Elektrohelfer (m/w), bautec Gesellschaft für Zeitarbeit mbH, Radevormwald, Full Time;https://www.jopago.com/jobs/4815015-elektrohelfer-m-w-bei-bautec-gesellschaft-fur-zeitarbeit-mbh
2;0.0946056848548;FACHLAGERIST (m/w), ONE JOBS GmbH, Nürnberg, Full Time;https://www.jopago.com/jobs/4815018-fachlagerist-m-w-bei-one-jobs-gmbh
3;0.0171443628451;Maschinenbedienr (m/w), IZS Personal e.K., Schelklingen, Full Time;https://www.jopago.com/jobs/4815021-maschinenbedienr-m-w-bei-izs-personal-e-k
4;0.0342581354522;Sachbearbeiter/in Einkauf Rohstoffe (m/w), Cobalt Recruitment, Bayern, Full Time;https://www.jopago.com/jobs/4757864-sachbearbeiter-in-einkauf-rohstoffe-m-w-bei-cobalt-recruitment
5;0.0396302570216;Spezialist (m/w) für Nebenkostenabrechnung / Property Management, Cobalt Recruitment, Nordrhein-Westfalen, Full Time;https://www.jopago.com/jobs/4757827-spezialist-m-w-fur-nebenkostenabrechnung-property-management-bei-cobalt-recruitment
6;0.0642338660018;Property- / Vertragsmanager Gewerbimmobilien (m/w), Cobalt Recruitment, Deutschland, Full Time;https://www.jopago.com/jobs/4758027-property-vertragsmanager-gewerbimmobilien-m-w-bei-cobalt-recruitment
7;0.0785615656595;Senior Business Analyst (m/w), Cobalt Recruitment, Berlin, Full Time;https://www.jopago.com/jobs/4757988-senior-business-analyst-m-w-bei-cobalt-recruitment
8;0.0186251166164;Projektleiter (m/w) TGA Fachplanung, Cobalt Recruitment, Nordrhein-Westfalen, Full Time;https://www.jopago.com/jobs/4758080-projektleiter-m-w-tga-fachplanung-bei-cobalt-recruitment
9;0.0356775321509;Rettungsassistent/in, avanti GmbH NL Köln, Köln, Full Time;https://www.jopago.com/jobs/4759472-rettungsassistent-in-bei-avanti-gmbh-nl-koln
10;0.0561687458779;(Senior-Analyst) Acquisitions & Corporate Finance, Cobalt Recruitment, Deutschland, Full Time;https://www.jopago.com/jobs/4796283-senior-analyst-acquisitions-corporate-finance-bei-cobalt-recruitment
11;0.043382121151;Wertstoffprüfer/in, avanti GmbH NL Köln, Leverkusen, Full Time;https://www.jopago.com/jobs/4802869-wertstoffprufer-in-bei-avanti-gmbh-nl-koln
12;0.0516339351705;Job / Nebenjob als mobiler Polsterreiniger (m/w) deutschlandweit, Polsterando GmbH, Stuttgart, Full Time;https://www.jopago.com/jobs/4802857-job-nebenjob-als-mobiler-polsterreiniger-m-w-deutschlandweit-bei-polsterando-gmbh
13;0.0474157122187;Innenarchitekt (m/w) kreativ/funktional, Cobalt Recruitment, Hamburg, Full Time;https://www.jopago.com/jobs/4794878-innenarchitekt-m-w-kreativ-funktional-bei-cobalt-recruitment
14;0.0386870422936;REINIGUNGSKRAFT (m/w) Minijob 450,- EUR, ONE JOBS GmbH, Erlangen, Full Time;https://www.jopago.com/jobs/4826072-reinigungskraft-m-w-minijob-450-eur-bei-one-jobs-gmbh
15;0.0362993286906;Spezialist (m/w) für Nebenkostenabrechnung/Property Management, Cobalt Recruitment, Hamburg, Full Time;https://www.jopago.com/jobs/4825910-spezialist-m-w-fur-nebenkostenabrechnung-property-management-bei-cobalt-recruitment
16;0.0519331702428;Assistenz (m/w) der Geschäftsführung, Cobalt Recruitment, Deutschland, Full Time;https://www.jopago.com/jobs/4818296-assistenz-m-w-der-geschaftsfuhrung-bei-cobalt-recruitment
17;0.0264678444929;Managing Director | Head of Finance Deutschland, Cobalt Recruitment, Deutschland, Full Time;https://www.jopago.com/jobs/4818388-managing-director-head-of-finance-deutschland-bei-cobalt-recruitment
18;0.0344888670373;Bauleiter (m/w) Tief- und Straßenbau, Cobalt Recruitment, Baden-Württemberg, Full Time;https://www.jopago.com/jobs/4822824-bauleiter-m-w-tief-und-strassenbau-bei-cobalt-recruitment
19;0.0819793848486;WERKZEUGMECHANIKER (m/w), ONE JOBS GmbH, Fürth, Full Time;https://www.jopago.com/jobs/4821606-werkzeugmechaniker-m-w-bei-one-jobs-gmbh
